step,epoch,epoch_step,loss,learn_rate
1,1,1,0.0006675,0.001
501,1,501,0.1166141,0.001
1001,1,1001,0.1434381,0.001
1501,1,1501,0.1250861,0.001
2001,1,2001,0.1274861,0.001
2501,1,2501,0.1416648,0.001
3001,1,3001,0.1433707,0.001
3501,1,3501,0.1478142,0.001
4001,1,4001,0.1211149,0.001
4501,1,4501,0.1058222,0.001
5001,1,5001,0.1193780,0.001
5501,1,5501,0.1236862,0.001
6001,1,6001,0.1171635,0.001
6501,1,6501,0.0859396,0.001
7001,1,7001,0.1501329,0.001
7501,1,7501,0.1354912,0.001
8001,1,8001,0.1317154,0.001
8501,1,8501,0.1120491,0.001
9001,1,9001,0.1171201,0.001
9501,1,9501,0.1441052,0.001
10001,1,10001,0.1115239,0.001
10501,1,10501,0.1390026,0.001
11001,1,11001,0.1286770,0.001
11501,1,11501,0.1045201,0.001
12001,1,12001,0.1679762,0.001
12501,1,12501,0.1208897,0.001
13001,1,13001,0.1620754,0.001
13501,1,13501,0.1163600,0.001
14001,1,14001,0.1449887,0.001
14501,1,14501,0.0862579,0.001
15001,1,15001,0.1707164,0.001
